基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,1.3770,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.16%
000043,嘉实美国成长股票人民币,QDII-普通股票,6.2720,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
000044,嘉实美国成长股票美元现汇,QDII-普通股票,5.6480,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,1.2007,09-09,限大额,开放赎回,,1.0,0,0,,1.30%
000071,华夏恒生ETF联接A,指数型-海外股票,1.4789,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
000075,华夏恒生ETF联接现汇,指数型-海外股票,0.2182,09-10,开放申购,开放赎回,,200.0,0,0,,0.00%
000076,华夏恒生ETF联接现钞,指数型-海外股票,0.2182,09-10,开放申购,开放赎回,,200.0,0,0,,0.00%
000103,国泰境外高收益债(QDII),QDII-纯债,0.8050,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,1.2250,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.13%
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,0.1808,09-09,限大额,开放赎回,,10.0,0,0,,1.30%
000274,广发亚太中高收益债(QDII)A,QDII-纯债,1.1936,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
000275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,0.1761,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
000290,鹏华全球高收益债(QDII),QDII-纯债,0.6464,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.08%
000341,嘉实新兴市场C2(QDII),QDII-纯债,1.1200,09-09,限大额,开放赎回,,0,0,0,,0.00%
000342,嘉实新兴市场A1(QDII),QDII-纯债,1.2560,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.08%
000369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,2.5420,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.13%
000370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,0.3751,09-09,限大额,开放赎回,,1.0,0,0,,1.30%
000593,易方达标普消费品指数美元现汇A,指数型-海外股票,0.4121,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
000614,华安德国(DAX)联接(QDII)A,指数型-海外股票,1.9971,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.12%
000834,大成纳斯达克100ETF联接(QDII)A,指数型-海外股票,6.2838,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,0.9440,09-09,限大额,开放赎回,,10.0,0,0,,1.60%
000927,博时大中华亚太精选美元现汇,QDII-普通股票,0.1989,09-09,限大额,开放赎回,,10.0,0,0,,1.60%
000934,国富大中华精选混合,QDII-混合偏股,3.3510,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
000988,嘉实全球互联网股票人民币,QDII-普通股票,2.2120,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,1.9900,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,1.9900,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.15%
001061,华夏收益债券(QDII)A,QDII-纯债,1.4507,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.08%
001063,华夏收益债券(QDII)C,QDII-纯债,1.3758,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
001065,华夏海外收益债券现汇,QDII-纯债,0.2141,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
001066,华夏海外收益债券现钞,QDII-纯债,0.2141,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
001092,广发生物科技指数人民币(QDII)A,指数型-海外股票,1.7030,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.13%
001093,广发生物科技指数美元(QDII)A,指数型-海外股票,0.2513,09-09,限大额,开放赎回,,1.0,0,0,,1.30%
001481,华宝标普油气上游股票美元A,指数型-海外股票,0.1505,09-09,暂停申购,开放赎回,,1000.0,0,0,,1.50%
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,5.2893,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.16%
001691,南方香港成长灵活配置混合,QDII-混合灵活,2.0853,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.16%
001876,鹏华全球高收益债美元现汇,QDII-纯债,0.0954,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
001984,摩根中国生物医药混合(QDII)A,QDII-混合偏股,1.5065,09-09,开放申购,开放赎回,,10.0,9999999999,1.0,1,0.15%
002230,华夏大中华混合(QDII),QDII-混合灵活,1.2880,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.15%
002286,中银美元债债券(QDII)人民币A,QDII-纯债,1.1969,09-09,限大额,开放赎回,,10.0,300000.0,1.0,1,0.08%
002287,中银美元债债券(QDII)美元,QDII-纯债,0.1766,09-09,限大额,开放赎回,,0,0,0,,0.80%
002379,工银香港中小盘人民币,QDII-普通股票,1.6600,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.15%
002380,工银香港中小盘美元,QDII-普通股票,0.2449,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
002391,华安全球美元收益债人民币A,QDII-混合债,1.1740,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
